27, 28
34, 5
24, 12
31, 31
11, 4
24, 20
14, 4
34, 2
29, 10
2, 18
29, 8
5, 11
15, 2
20, 23
28, 28
34, 6
25, 13
32, 31
12, 4
23, 19
14, 5
34, 3
28, 11
1, 17
28, 9
6, 12
16, 3
19, 22
29, 28
34, 7
24, 14
33, 30
13, 3
23, 18
13, 6
34, 4
27, 12
2, 16
27, 10
7, 13
17, 4
18, 21
29, 28
34, 8
23, 15
33, 30
14, 3
24, 17
12, 7
34, 5
26, 13
2, 16
26, 11
8, 14
18, 5
17, 20
29, 28
34, 9
22, 16
33, 30
15, 3
25, 16
11, 8
34, 6
25, 14
2, 16
25, 12
9, 15
19, 6
16, 19
29, 28
33, 10
21, 17
33, 30
16, 3
26, 16
10, 9
34, 7
24, 15
2, 16
24, 13
10, 16
20, 7
15, 18
29, 28
34, 11
20, 18
33, 30
17, 3
26, 15
9, 10
34, 8
23, 16
2, 16
23, 14
11, 17
21, 8
14, 17
29, 28
34, 12
19, 19
33, 30
18, 3
27, 14
8, 11
34, 9
22, 17
2, 16
22, 15
12, 18
22, 9
13, 16
29, 28
34, 13
18, 20
33, 30
19, 4
27, 13
7, 12
33, 10
21, 17
2, 16
21, 14
13, 19
23, 10
12, 15
29, 28
33, 14
18, 20
33, 30
20, 4
28, 12
6, 13
34, 11
20, 18
2, 16
20, 15
14, 20
24, 11
11, 14
29, 28
32, 15
18, 20
33, 30
21, 4
29, 11
5, 13
34, 12
19, 19
2, 16
19, 16
15, 21
25, 12
10, 13
29, 28
31, 16
18, 20
33, 30
22, 5
29, 11
4, 12
34, 13
18, 20
2, 16
18, 17
15, 22
26, 13
11, 12
29, 28
30, 17
18, 20
33, 30
23, 6
29, 11
3, 11
34, 14
17, 19
2, 16
17, 16
14, 23
25, 14
12, 11
29, 28
29, 18
18, 20
33, 30
23, 6
29, 11
2, 10
33, 15
16, 18
2, 16
16, 15
14, 23
24, 15
13, 10
29, 28
28, 19
18, 20
33, 30
23, 6
29, 11
2, 10
34, 16
15, 17
2, 16
15, 14
14, 23
24, 15
14, 9
29, 28
27, 20
18, 20
33, 30
23, 6
29, 11
2, 10
34, 17
14, 16
2, 16
14, 13
14, 23
24, 15
15, 8
29, 28
26, 21
18, 20
33, 30
23, 6
29, 11
2, 10
34, 17
13, 15
2, 16
13, 12
14, 23
24, 15
16, 7
29, 28
25, 22
18, 20
33, 30
23, 6
29, 11
2, 10
34, 17
12, 14
2, 16
12, 11
14, 23
24, 15
17, 6
29, 28
24, 23
18, 20
33, 30
23, 6
29, 11
2, 10
34, 17
11, 13
2, 16
11, 11
14, 23
24, 15
18, 5
29, 28
23, 24
18, 20
33, 30
23, 6
29, 11
2, 10
34, 17
10, 13
2, 16
10, 10
14, 23
24, 15
19, 4
29, 28
22, 25
18, 20
33, 30
23, 6
29, 11
2, 10
34, 17
9, 12
2, 16
9, 9
14, 23
24, 15
20, 3
29, 28
21, 26
18, 20
33, 30
23, 6
29, 11
2, 10
34, 17
8, 11
2, 16
8, 8
14, 23
24, 15
21, 2
29, 28
21, 26
18, 20
33, 30
23, 6
29, 11
2, 10
34, 17
7, 10
2, 16
7, 8
14, 23
24, 15
22, 1
29, 28
21, 26
18, 20
33, 30
23, 6
29, 11
2, 10
34, 17
8, 10
2, 16
6, 9
14, 23
24, 15
23, 0
29, 28
21, 26
18, 20
33, 30
23, 6
29, 11
2, 10
34, 17
8, 9
2, 16
5, 9
14, 23
24, 15
23, 0
29, 28
21, 26
18, 20
33, 30
23, 6
29, 11
2, 10
34, 17
7, 9
2, 16
4, 8
14, 23
24, 15
23, 0
29, 28
21, 26
18, 20
33, 30
23, 6
29, 11
2, 10
34, 17
7, 9
2, 16
3, 7
14, 23
24, 15
23, 0
29, 28
21, 26
18, 20
33, 30
23, 6
29, 11
2, 10
34, 17
7, 9
2, 16
2, 6
14, 23
24, 15
23, 0
29, 28
21, 26
18, 20
33, 30
23, 6
29, 11
2, 10
34, 17
7, 9
2, 16
1, 5
14, 23
24, 15
23, 0
Execution Time: 1 ms
